Cod regiune	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
LU00	3,10	33,33	0,00	0,00	0,00	0,00	0,00	33,33	0,00	0,00
HU11	1,70	0,00	0,00	0,00	66,67	66,67	33,33	66,67	33,33	33,33
HU12	1,90	0,00	0,00	0,00	66,67	0,00	33,33	33,33	0,00	33,33
HU21	4,20	33,33	0,00	0,00	33,33	0,00	0,00	0,00	0,00	66,67
HU22	3,30	0,00	33,33	0,00	0,00	66,67	33,33	66,67	0,00	0,00
HU23	2,90	0,00	33,33	0,00	33,33	0,00	0,00	33,33	0,00	33,33
HU31	4,70	100,00	0,00	0,00	100,00	66,67	0,00	66,67	0,00	66,67
HU32	4,50	66,67	0,00	0,00	100,00	66,67	0,00	100,00	33,33	66,67
HU33	3,20	33,33	0,00	0,00	0,00	0,00	0,00	66,67	0,00	0,00
MT00	3,90	0,00	0,00	0,00	66,67	0,00	0,00	0,00	0,00	33,33
NL11	2,10	0,00	0,00	0,00	33,33	33,33	33,33	66,67	0,00	33,33
NL12	2,70	33,33	33,33	0,00	0,00	0,00	0,00	33,33	0,00	0,00
NL13	3,40	66,67	0,00	0,00	0,00	0,00	0,00	0,00	0,00	33,33
NL21	3,80	33,33	33,33	0,00	66,67	0,00	0,00	33,33	33,33	33,33
NL22	3,70	66,67	33,33	33,33	0,00	100,00	33,33	33,33	0,00	33,33
NL23	4,60	33,33	33,33	0,00	33,33	33,33	33,33	33,33	0,00	0,00
NL31	3,10	100,00	66,67	0,00	0,00	66,67	0,00	100,00	0,00	66,67
NL32	3,40	66,67	0,00	0,00	33,33	100,00	66,67	66,67	0,00	100,00
NL33	3,50	100,00	33,33	0,00	33,33	100,00	66,67	33,33	0,00	66,67
NL34	2,80	0,00	33,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00
NL41	2,90	66,67	0,00	0,00	100,00	66,67	66,67	66,67	0,00	66,67
NL42	3,20	33,33	0,00	0,00	33,33	33,33	0,00	0,00	0,00	33,33
AT11	2,70	0,00	0,00	0,00	0,00	33,33	0,00	0,00	0,00	33,33
AT12	3,40	33,33	0,00	0,00	33,33	33,33	33,33	33,33	0,00	33,33
AT13	3,60	66,67	0,00	0,00	33,33	33,33	33,33	33,33	0,00	0,00
AT21	1,10	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
AT22	2,00	33,33	0,00	0,00	0,00	66,67	0,00	0,00	0,00	33,33
AT31	2,50	0,00	0,00	0,00	66,67	66,67	0,00	66,67	0,00	33,33
AT32	2,80	100,00	33,33	0,00	0,00	0,00	0,00	33,33	0,00	0,00
AT33	2,40	33,33	33,33	0,00	0,00	33,33	0,00	0,00	0,00	0,00
AT34	1,60	33,33	0,00	0,00	0,00	0,00	66,67	33,33	0,00	0,00
PL21	3,00	66,67	33,33	0,00	100,00	66,67	66,67	66,67	0,00	66,67
PL22	4,40	33,33	0,00	0,00	100,00	100,00	0,00	100,00	0,00	66,67
PL41	3,80	100,00	0,00	0,00	100,00	66,67	66,67	33,33	66,67	0,00
PL42	3,70	33,33	0,00	0,00	33,33	66,67	0,00	33,33	33,33	0,00
PL43	3,20	33,33	0,00	0,00	100,00	33,33	0,00	0,00	0,00	0,00
PL51	4,50	33,33	0,00	0,00	66,67	33,33	0,00	0,00	33,33	0,00
PL52	4,00	0,00	33,33	0,00	66,67	0,00	0,00	0,00	0,00	33,33
PL61	5,60	66,67	0,00	0,00	100,00	66,67	0,00	66,67	33,33	0,00
PL62	4,80	0,00	0,00	0,00	100,00	33,33	0,00	0,00	0,00	66,67
PL63	4,10	66,67	33,33	0,00	100,00	33,33	0,00	66,67	33,33	0,00
PL71	3,60	33,33	0,00	0,00	66,67	66,67	0,00	33,33	0,00	66,67
PL81	4,60	66,67	0,00	0,00	0,00	0,00	0,00	66,67	33,33	33,33
PL84	4,70	33,33	0,00	0,00	100,00	33,33	0,00	0,00	33,33	0,00
PL91	3,30	33,33	0,00	0,00	100,00	66,67	33,33	0,00	33,33	0,00
PL92	3,60	33,33	0,00	0,00	66,67	100,00	33,33	33,33	66,67	0,00
PT11	2,10	100,00	0,00	0,00	100,00	66,67	0,00	33,33	0,00	66,67
PT15	1,70	0,00	0,00	0,00	33,33	0,00	0,00	0,00	0,00	0,00
PT16	2,30	100,00	0,00	0,00	66,67	33,33	0,00	100,00	0,00	66,67
PT17	2,90	100,00	66,67	0,00	100,00	66,67	33,33	66,67	33,33	66,67
PT18	1,90	33,33	0,00	0,00	33,33	0,00	0,00	33,33	0,00	66,67
PT20	2,40	0,00	0,00	0,00	33,33	0,00	0,00	33,33	0,00	0,00
PT30	3,40	33,33	0,00	0,00	0,00	33,33	0,00	0,00	0,00	0,00
RO11	5,80	66,67	66,67	0,00	100,00	33,33	66,67	100,00	66,67	66,67
RO12	6,20	100,00	100,00	0,00	100,00	66,67	33,33	100,00	66,67	66,67
RO21	5,70	100,00	100,00	0,00	100,00	100,00	0,00	100,00	100,00	100,00
RO22	6,20	66,67	100,00	0,00	100,00	33,33	33,33	100,00	66,67	66,67
RO31	4,90	0,00	100,00	0,00	100,00	66,67	66,67	100,00	66,67	100,00
RO32	2,50	33,33	100,00	0,00	100,00	66,67	33,33	33,33	0,00	100,00
RO41	6,10	33,33	100,00	0,00	100,00	66,67	0,00	100,00	66,67	100,00
RO42	4,70	100,00	66,67	0,00	100,00	66,67	0,00	66,67	100,00	100,00
SI03	2,00	0,00	0,00	0,00	66,67	33,33	0,00	0,00	33,33	33,33
SI04	1,60	0,00	0,00	0,00	33,33	0,00	0,00	33,33	0,00	0,00
SK01	2,00	33,33	0,00	0,00	33,33	33,33	0,00	33,33	0,00	0,00
SK02	3,40	66,67	66,67	0,00	100,00	33,33	33,33	66,67	33,33	66,67
SK03	4,00	33,33	100,00	0,00	66,67	33,33	0,00	33,33	33,33	66,67
SK04	8,10	100,00	100,00	0,00	100,00	100,00	33,33	100,00	33,33	66,67
FI19	1,80	66,67	0,00	0,00	0,00	66,67	0,00	0,00	33,33	33,33
FI1B	1,40	66,67	0,00	0,00	0,00	0,00	66,67	33,33	0,00	0,00
FI1C	2,90	66,67	0,00	0,00	0,00	33,33	0,00	0,00	0,00	0,00
FI1D	1,40	66,67	0,00	0,00	33,33	33,33	0,00	33,33	0,00	0,00
SE11	1,50	66,67	33,33	0,00	66,67	33,33	66,67	33,33	0,00	33,33
SE12	2,20	66,67	66,67	0,00	66,67	0,00	0,00	33,33	0,00	33,33
SE21	2,50	66,67	100,00	0,00	66,67	0,00	0,00	33,33	0,00	33,33
SE22	1,90	33,33	0,00	0,00	33,33	33,33	0,00	33,33	0,00	66,67
SE23	1,70	33,33	33,33	33,33	66,67	66,67	0,00	66,67	0,00	66,67
SE31	2,00	33,33	0,00	0,00	66,67	66,67	33,33	66,67	0,00	0,00
SE32	1,10	0,00	0,00	0,00	0,00	33,33	0,00	0,00	0,00	33,33
SE33	2,10	33,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
IS00	3,30	33,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
NO02	0,30	33,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
NO06	2,00	66,67	0,00	0,00	0,00	0,00	0,00	0,00	0,00	33,33
NO07	1,30	33,33	0,00	0,00	0,00	33,33	0,00	33,33	0,00	0,00
CH01	2,60	100,00	0,00	0,00	100,00	0,00	0,00	33,33	0,00	33,33
CH02	2,90	33,33	0,00	0,00	100,00	0,00	0,00	66,67	0,00	66,67
CH03	3,60	33,33	0,00	0,00	0,00	33,33	0,00	0,00	33,33	66,67
CH04	4,20	66,67	0,00	0,00	0,00	33,33	33,33	66,67	33,33	0,00
CH05	3,30	0,00	33,33	0,00	0,00	33,33	33,33	33,33	0,00	33,33
CH06	2,20	33,33	0,00	0,00	0,00	33,33	0,00	0,00	0,00	33,33
